Unnamed: 0,Flow ID, Source IP, Source Port, Destination IP, Destination Port, Protocol, Timestamp, Flow Duration, Total Fwd Packets, Total Backward Packets,Total Length of Fwd Packets, Total Length of Bwd Packets, Fwd Packet Length Max, Fwd Packet Length Min, Fwd Packet Length Mean, Fwd Packet Length Std,Bwd Packet Length Max, Bwd Packet Length Min, Bwd Packet Length Mean, Bwd Packet Length Std,Flow Bytes/s, Flow Packets/s, Flow IAT Mean, Flow IAT Std, Flow IAT Max, Flow IAT Min,Fwd IAT Total, Fwd IAT Mean, Fwd IAT Std, Fwd IAT Max, Fwd IAT Min,Bwd IAT Total, Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Bwd IAT Min,Fwd PSH Flags, Bwd PSH Flags, Fwd URG Flags, Bwd URG Flags, Fwd Header Length, Bwd Header Length,Fwd Packets/s, Bwd Packets/s, Min Packet Length, Max Packet Length, Packet Length Mean, Packet Length Std, Packet Length Variance,FIN Flag Count, SYN Flag Count, RST Flag Count, PSH Flag Count, ACK Flag Count, URG Flag Count, CWE Flag Count, ECE Flag Count, Down/Up Ratio, Average Packet Size, Avg Fwd Segment Size, Avg Bwd Segment Size, Fwd Header Length.1,Fwd Avg Bytes/Bulk, Fwd Avg Packets/Bulk, Fwd Avg Bulk Rate, Bwd Avg Bytes/Bulk, Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets, Subflow Fwd Bytes, Subflow Bwd Packets, Subflow Bwd Bytes,Init_Win_bytes_forward, Init_Win_bytes_backward, act_data_pkt_fwd, min_seg_size_forward,Active Mean, Active Std, Active Max, Active Min,Idle Mean, Idle Std, Idle Max, Idle Min,SimillarHTTP, Inbound,label
2735,192.168.50.6-4.2.2.4-63143-53-17,192.168.50.6,63143,4.2.2.4,53,17,2018-11-03 09:44:49.786149,20794,2,2,82,114,41,41,41.0,0.0,57,57,57.0,0.0,9425.79590266423,192.363181687025,6931.33333333333,12001.0913809259,20789,2,2,2.0,0.0,2,2,3,3.0,0.0,3,3,0,0,0,0,40,40,96.1815908435126,96.1815908435126,41,57,47.4,8.76356092008266,76.8,0,0,0,0,0,0,0,0,1,59.25,41.0,57.0,40,0,0,0,0,0,0,2,82,2,114,-1,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0,0,0,BENIGN
128771,192.168.50.6-8.8.8.8-60341-53-17,192.168.50.6,60341,8.8.8.8,53,17,2018-11-03 09:21:44.159818,45511,2,2,90,122,45,45,45.0,0.0,61,61,61.0,0.0,4658.21449759399,87.8908395772451,15170.3333333333,26271.4579788281,45506,2,3,3.0,0.0,3,3,2,2.0,0.0,2,2,0,0,0,0,40,64,43.9454197886225,43.9454197886225,45,61,51.4,8.76356092008266,76.8,0,0,0,0,0,0,0,0,1,64.25,45.0,61.0,40,0,0,0,0,0,0,2,90,2,122,-1,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0,0,0,BENIGN
746,192.168.50.253-224.0.0.5-0-0-0,192.168.50.253,0,224.0.0.5,0,0,2018-11-03 09:36:49.665869,113488445,52,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.458196426957828,2225263.62745098,4054328.18920556,9988188,1,113488445,2225263.62745098,4054328.18920556,9988188,1,0,0.0,0.0,0,0,0,0,0,0,0,0,0.458196426957828,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,52,0,0,0,-1,-1,0,0,6.5,0.522232967867094,7,6,9457363.41666667,319073.736801744,9988188,9051006,0,0,BENIGN
1467,192.168.50.9-68.67.179.11-39418-443-6,68.67.179.11,443,192.168.50.9,39418,6,2018-11-03 09:51:48.939336,212,1,3,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,18867.9245283019,70.6666666666667,63.7599665411874,128,2,0,0.0,0.0,0,0,84,42.0,56.5685424949238,82,2,0,0,0,0,32,96,4716.98113207547,14150.9433962264,0,0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,3,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,3,0,90,380,0,32,0.0,0.0,0,0,0.0,0.0,0,0,0,1,BENIGN
73020,192.168.50.6-74.208.236.171-55009-80-6,74.208.236.171,80,192.168.50.6,55009,6,2018-11-03 09:42:38.498101,110,1,2,6,12,6,6,6.0,0.0,6,6,6.0,0.0,163636.363636364,27272.7272727273,55.0,73.5391052434009,107,3,0,0.0,0.0,0,0,3,3.0,0.0,3,3,0,0,0,0,20,40,9090.90909090909,18181.8181818182,6,6,6.0,0.0,0.0,0,0,0,0,0,1,1,0,2,8.0,6.0,6.0,20,0,0,0,0,0,0,1,6,2,12,1959,255,0,20,0.0,0.0,0,0,0.0,0.0,0,0,0,1,BENIGN
46,172.217.9.226-192.168.50.6-443-54850-6,192.168.50.6,54850,172.217.9.226,443,6,2018-11-03 09:20:52.293904,239154,17,14,1712,7394,517,0,100.705882352941,168.988448091091,1430,0,528.142857142857,614.090053173469,38075.8841583248,129.623589820785,7971.8,19689.875205643,88471,1,239154,14947.125,26835.9561456267,88471,1,103687,7975.92307692308,16213.6878565691,43954,2,0,0,0,0,364,304,71.0839040952692,58.5396857255158,0,1430,284.5625,469.920030087481,220824.834677419,0,0,0,0,1,0,0,0,0,293.741935483871,100.705882352941,528.142857142857,364,0,0,0,0,0,0,17,1712,14,7394,8192,242,15,20,0.0,0.0,0,0,0.0,0.0,0,0,0,0,BENIGN
71854,192.168.50.8-4.2.2.4-57537-53-17,192.168.50.8,57537,4.2.2.4,53,17,2018-11-03 09:33:55.867203,20820,2,2,94,126,47,47,47.0,0.0,63,63,63.0,0.0,10566.762728146,192.122958693564,6940.0,12017.8345387179,20817,1,1,1.0,0.0,1,1,2,2.0,0.0,2,2,0,0,0,0,64,64,96.0614793467819,96.0614793467819,47,63,53.4,8.76356092008266,76.8,0,0,0,0,0,0,0,0,1,66.75,47.0,63.0,64,0,0,0,0,0,0,2,94,2,126,-1,-1,1,32,0.0,0.0,0,0,0.0,0.0,0,0,0,0,BENIGN
97316,192.168.50.8-4.2.2.4-61707-53-17,192.168.50.8,61707,4.2.2.4,53,17,2018-11-03 09:34:11.984595,20969,2,2,62,94,31,31,31.0,0.0,47,47,47.0,0.0,7439.55362678239,190.757785302113,6989.66666666667,12102.9936930221,20965,2,2,2.0,0.0,2,2,2,2.0,0.0,2,2,0,0,0,0,40,40,95.3788926510563,95.3788926510563,31,47,37.4,8.76356092008266,76.8,0,0,0,0,0,0,0,0,1,46.75,31.0,47.0,40,0,0,0,0,0,0,2,62,2,94,-1,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0,0,0,BENIGN
135248,172.217.6.226-192.168.50.8-80-59859-6,172.217.6.226,80,192.168.50.8,59859,6,2018-11-03 09:53:31.859876,159,1,2,6,12,6,6,6.0,0.0,6,6,6.0,0.0,113207.547169811,18867.9245283019,79.5,111.015764646288,158,1,0,0.0,0.0,0,0,1,1.0,0.0,1,1,0,0,0,0,20,40,6289.30817610063,12578.6163522013,6,6,6.0,0.0,0.0,0,0,0,0,0,1,1,0,2,8.0,6.0,6.0,20,0,0,0,0,0,0,1,6,2,12,238,16560,0,20,0.0,0.0,0,0,0.0,0.0,0,0,0,1,BENIGN
1669,192.168.50.9-52.85.93.127-34100-80-6,192.168.50.9,34100,52.85.93.127,80,6,2018-11-03 09:51:35.942604,118423802,39,32,2688,5824,448,0,68.9230769230769,163.751960151448,971,0,182.0,384.925464087823,71.8774423405187,0.599541636064007,1691768.6,3723261.05990838,10200943,1,118423802,3116415.84210526,4638374.99212125,10240025,1,115433621,3723665.19354839,4923892.78161261,10240490,1,0,0,0,0,1264,1040,0.32932568741544,0.270215948648566,0,971,118.222222222222,287.070694646057,82409.5837245696,0,0,0,0,1,0,0,0,0,119.887323943662,68.9230769230769,182.0,1264,0,0,0,0,0,0,39,2688,32,5824,29200,126,6,32,304472.0,879827.272425787,2957251,39089,10189489.7272727,37570.5904480906,10200943,10076211,ocsp.sca1b.amazontrust.com/,0,BENIGN
131746,192.168.50.6-4.2.2.4-56234-53-17,192.168.50.6,56234,4.2.2.4,53,17,2018-11-03 09:48:50.942182,20839,2,2,86,142,43,43,43.0,0.0,71,71,71.0,0.0,10941.0240414607,191.947790201065,6946.33333333333,12025.340341684,20832,1,6,6.0,0.0,6,6,1,1.0,0.0,1,1,0,0,0,0,40,40,95.9738951005327,95.9738951005327,43,71,54.2,15.3362316101447,235.2,0,0,0,0,0,0,0,0,1,67.75,43.0,71.0,40,0,0,0,0,0,0,2,86,2,142,-1,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0,0,0,BENIGN
